year,city,country,avg_temp,14 Year MA,,year,avg_temp,14 Year MA
1743,Columbus,United States,7.46,,,1750,8.72,
1744,Columbus,United States,15.73,,,1751,7.98,
1745,Columbus,United States,6.91,,,1752,5.78,
1746,Columbus,United States,,,,1753,8.39,
1747,Columbus,United States,,,,1754,8.47,
1748,Columbus,United States,,,,1755,8.36,
1749,Columbus,United States,,,,1756,8.85,
1750,Columbus,United States,14.62,,,1757,9.02,
1751,Columbus,United States,15.36,,,1758,6.74,
1752,Columbus,United States,8.3,,,1759,7.99,
1753,Columbus,United States,14,,,1760,7.19,
1754,Columbus,United States,14.11,,,1761,8.77,
1755,Columbus,United States,11.66,,,1762,8.61,
1756,Columbus,United States,14.24,12.239,,1763,7.5,8.026428571
1757,Columbus,United States,13.62,12.855,,1764,8.4,8.003571429
1758,Columbus,United States,12.55,12.537,,1765,8.25,8.022857143
1759,Columbus,United States,13.55,13.201,,1766,8.41,8.210714286
1760,Columbus,United States,12.1,13.10090909,,1767,8.22,8.198571429
1761,Columbus,United States,14.52,13.21916667,,1768,6.78,8.077857143
1762,Columbus,United States,14,13.27923077,,1769,7.69,8.03
1763,Columbus,United States,11.94,13.18357143,,1770,7.69,7.947142857
1764,Columbus,United States,13.96,13.13642857,,1771,7.85,7.863571429
1765,Columbus,United States,13.58,13.00928571,,1772,8.19,7.967142857
1766,Columbus,United States,14.45,13.44857143,,1773,8.22,7.983571429
1767,Columbus,United States,13.22,13.39285714,,1774,8.77,8.096428571
1768,Columbus,United States,12.86,13.30357143,,1775,9.18,8.125714286
1769,Columbus,United States,13.73,13.45142857,,1776,8.3,8.103571429
1770,Columbus,United States,13.59,13.405,,1777,8.26,8.157857143
1771,Columbus,United States,14.48,13.46642857,,1778,8.54,8.167857143
1772,Columbus,United States,14.23,13.58642857,,1779,8.98,8.22
1773,Columbus,United States,14.37,13.645,,1780,9.43,8.292857143
1774,Columbus,United States,13.93,13.77571429,,1781,8.1,8.284285714
1775,Columbus,United States,14.86,13.8,,1782,7.9,8.364285714
1776,Columbus,United States,13.64,13.77428571,,1783,7.68,8.363571429
1777,Columbus,United States,13.56,13.89,,1784,7.86,8.375714286
1778,Columbus,United States,11.19,13.69214286,,1785,7.36,8.340714286
1779,Columbus,United States,6.06,13.155,,1786,8.26,8.345714286
1780,Columbus,United States,,13.05538462,,1787,8.03,8.332142857
1781,Columbus,United States,14.13,13.12538462,,1788,8.45,8.309285714
1782,Columbus,United States,13.65,13.18615385,,1789,8.33,8.248571429
1783,Columbus,United States,13.4,13.16076923,,1790,7.98,8.225714286
1784,Columbus,United States,13.35,13.14230769,,1791,8.23,8.223571429
1785,Columbus,United States,13.16,13.04076923,,1792,8.09,8.191428571
1786,Columbus,United States,13.7,13,,1793,8.23,8.137857143
1787,Columbus,United States,13.73,12.95076923,,1794,8.53,8.073571429
1788,Columbus,United States,14.24,12.97461538,,1795,8.35,8.091428571
1789,Columbus,United States,13.98,12.90692308,,1796,8.27,8.117857143
1790,Columbus,United States,13.89,12.92615385,,1797,8.51,8.177142857
1791,Columbus,United States,14.08,12.96615385,,1798,8.67,8.235
1792,Columbus,United States,13.57,13.14923077,,1799,8.51,8.317142857
1793,Columbus,United States,14.15,13.77153846,,1800,8.48,8.332857143
1794,Columbus,United States,14.25,13.80571429,,1801,8.59,8.372857143
1795,Columbus,United States,13.97,13.79428571,,1802,8.58,8.382142857
1796,Columbus,United States,13.78,13.80357143,,1803,8.5,8.394285714
1797,Columbus,United States,13.7,13.825,,1804,8.84,8.455714286
1798,Columbus,United States,14.45,13.90357143,,1805,8.56,8.479285714
1799,Columbus,United States,14.12,13.97214286,,1806,8.43,8.503571429
1800,Columbus,United States,14.02,13.995,,1807,8.28,8.507142857
1801,Columbus,United States,14.38,14.04142857,,1808,7.63,8.442857143
1802,Columbus,United States,14.59,14.06642857,,1809,7.08,8.352142857
1803,Columbus,United States,14.45,14.1,,1810,6.92,8.255714286
1804,Columbus,United States,14.39,14.13571429,,1811,6.86,8.137857143
1805,Columbus,United States,14.59,14.17214286,,1812,7.05,8.022142857
1806,Columbus,United States,14.06,14.20714286,,1813,7.74,7.967142857
1807,Columbus,United States,13.84,14.185,,1814,7.59,7.903571429
1808,Columbus,United States,13.81,14.15357143,,1815,7.24,7.807142857
1809,Columbus,United States,13.01,14.085,,1816,6.94,7.69
1810,Columbus,United States,13.18,14.04214286,,1817,6.98,7.581428571
1811,Columbus,United States,13.33,14.01571429,,1818,7.83,7.509285714
1812,Columbus,United States,12.44,13.87214286,,1819,7.37,7.424285714
1813,Columbus,United States,13.52,13.82928571,,1820,7.62,7.366428571
1814,Columbus,United States,13.31,13.77857143,,1821,8.09,7.352857143
1815,Columbus,United States,12.88,13.67142857,,1822,8.19,7.392857143
1816,Columbus,United States,12.43,13.51714286,,1823,7.72,7.438571429
1817,Columbus,United States,12.53,13.38,,1824,8.55,7.555
1818,Columbus,United States,13.19,13.29428571,,1825,8.39,7.664285714
1819,Columbus,United States,13.24,13.19785714,,1826,8.36,7.757857143
1820,Columbus,United States,13.25,13.14,,1827,8.81,7.834285714
1821,Columbus,United States,13.08,13.08571429,,1828,8.17,7.875714286
1822,Columbus,United States,14.14,13.10928571,,1829,7.94,7.925714286
1823,Columbus,United States,13.5,13.14428571,,1830,8.52,8.038571429
1824,Columbus,United States,14.03,13.205,,1831,7.64,8.085714286
1825,Columbus,United States,14.66,13.3,,1832,7.45,8.058571429
1826,Columbus,United States,14.35,13.43642857,,1833,8.01,8.104285714
1827,Columbus,United States,14.74,13.52357143,,1834,8.15,8.142142857
1828,Columbus,United States,15.57,13.685,,1835,7.39,8.092142857
1829,Columbus,United States,13.97,13.76285714,,1836,7.7,8.057142857
1830,Columbus,United States,15.23,13.96285714,,1837,7.38,8.032857143
1831,Columbus,United States,13.27,14.01571429,,1838,7.51,7.958571429
1832,Columbus,United States,14.28,14.09357143,,1839,7.63,7.904285714
1833,Columbus,United States,14.39,14.17571429,,1840,7.8,7.864285714
1834,Columbus,United States,14.88,14.29214286,,1841,7.69,7.784285714
1835,Columbus,United States,13.81,14.34428571,,1842,8.02,7.773571429
1836,Columbus,United States,13.2,14.27714286,,1843,8.17,7.79
1837,Columbus,United States,13.97,14.31071429,,1844,7.65,7.727857143
1838,Columbus,United States,13.36,14.26285714,,1845,7.85,7.742857143
1839,Columbus,United States,14.24,14.23285714,,1846,8.55,7.821428571
1840,Columbus,United States,14.43,14.23857143,,1847,8.09,7.827142857
1841,Columbus,United States,14,14.18571429,,1848,7.98,7.815
1842,Columbus,United States,14.41,14.10285714,,1849,7.98,7.857142857
1843,Columbus,United States,13.33,14.05714286,,1850,7.9,7.871428571
1844,Columbus,United States,14.48,14.00357143,,1851,8.18,7.928571429
1845,Columbus,United States,14.29,14.07642857,,1852,8.1,7.970714286
1846,Columbus,United States,14.72,14.10785714,,1853,8.04,8
1847,Columbus,United States,13.7,14.05857143,,1854,8.21,8.029285714
1848,Columbus,United States,14.15,14.00642857,,1855,8.11,8.059285714
1849,Columbus,United States,14.02,14.02142857,,1856,8,8.057857143
1850,Columbus,United States,14.21,14.09357143,,1857,7.76,8.028571429
1851,Columbus,United States,14.14,14.10571429,,1858,8.1,8.060714286
1852,Columbus,United States,14.19,14.165,,1859,8.25,8.089285714
1853,Columbus,United States,14.28,14.16785714,,1860,7.96,8.047142857
1854,Columbus,United States,14.96,14.20571429,,1861,7.85,8.03
1855,Columbus,United States,14.1,14.21285714,,1862,7.56,8
1856,Columbus,United States,12.84,14.10071429,,1863,8.11,8.009285714
1857,Columbus,United States,12.88,14.06857143,,1864,7.98,8.015
1858,Columbus,United States,14.22,14.05,,1865,8.18,8.015
1859,Columbus,United States,13.93,14.02428571,,1866,8.29,8.028571429
1860,Columbus,United States,14.11,13.98071429,,1867,8.44,8.057142857
1861,Columbus,United States,13.93,13.99714286,,1868,8.25,8.06
1862,Columbus,United States,14.06,13.99071429,,1869,8.43,8.082857143
1863,Columbus,United States,13.57,13.95857143,,1870,8.2,8.097142857
1864,Columbus,United States,13.24,13.88928571,,1871,8.12,8.122857143
1865,Columbus,United States,14.04,13.88214286,,1872,8.19,8.129285714
1866,Columbus,United States,13.37,13.82357143,,1873,8.35,8.136428571
1867,Columbus,United States,13.68,13.78071429,,1874,8.43,8.17
1868,Columbus,United States,13.07,13.64571429,,1875,7.86,8.170714286
1869,Columbus,United States,13.2,13.58142857,,1876,8.08,8.207857143
1870,Columbus,United States,13.91,13.65785714,,1877,8.54,8.238571429
1871,Columbus,United States,14.34,13.76214286,,1878,8.83,8.299285714
1872,Columbus,United States,12.89,13.66714286,,1879,8.17,8.298571429
1873,Columbus,United States,13.26,13.61928571,,1880,8.12,8.286428571
1874,Columbus,United States,14.45,13.64357143,,1881,8.27,8.274285714
1875,Columbus,United States,13.05,13.58071429,,1882,8.13,8.265714286
1876,Columbus,United States,13.56,13.545,,1883,7.98,8.233571429
1877,Columbus,United States,14.1,13.58285714,,1884,7.77,8.202857143
1878,Columbus,United States,14.37,13.66357143,,1885,7.92,8.188571429
1879,Columbus,United States,14.22,13.67642857,,1886,7.95,8.171428571
1880,Columbus,United States,14.4,13.75,,1887,7.91,8.14
1881,Columbus,United States,14.54,13.81142857,,1888,8.09,8.115714286
1882,Columbus,United States,14.23,13.89428571,,1889,8.32,8.148571429
1883,Columbus,United States,13.9,13.94428571,,1890,7.97,8.140714286
1884,Columbus,United States,13.68,13.92785714,,1891,8.02,8.103571429
1885,Columbus,United States,12.43,13.79142857,,1892,8.07,8.049285714
1886,Columbus,United States,12.91,13.79285714,,1893,8.06,8.041428571
1887,Columbus,United States,13.88,13.83714286,,1894,8.16,8.044285714
1888,Columbus,United States,13.46,13.76642857,,1895,8.15,8.035714286
1889,Columbus,United States,13.71,13.81357143,,1896,8.21,8.041428571
1890,Columbus,United States,14.58,13.88642857,,1897,8.29,8.063571429
1891,Columbus,United States,13.73,13.86,,1898,8.18,8.092857143
1892,Columbus,United States,13.22,13.77785714,,1899,8.4,8.127142857
1893,Columbus,United States,13.5,13.72642857,,1900,8.5,8.166428571
1894,Columbus,United States,14.25,13.71571429,,1901,8.54,8.211428571
1895,Columbus,United States,13.14,13.61571429,,1902,8.3,8.226428571
1896,Columbus,United States,14.36,13.625,,1903,8.22,8.219285714
1897,Columbus,United States,14.25,13.65,,1904,8.09,8.227857143
1898,Columbus,United States,14.09,13.67928571,,1905,8.23,8.242857143
1899,Columbus,United States,13.96,13.78857143,,1906,8.38,8.265
1900,Columbus,United States,14.27,13.88571429,,1907,7.95,8.257142857
1901,Columbus,United States,13.02,13.82428571,,1908,8.19,8.259285714
1902,Columbus,United States,13.86,13.85285714,,1909,8.18,8.261428571
1903,Columbus,United States,13.41,13.83142857,,1910,8.22,8.262142857
1904,Columbus,United States,13.17,13.73071429,,1911,8.18,8.254285714
1905,Columbus,United States,13.45,13.71071429,,1912,8.17,8.253571429
1906,Columbus,United States,14,13.76642857,,1913,8.3,8.246428571
1907,Columbus,United States,13.75,13.78428571,,1914,8.59,8.252857143
1908,Columbus,United States,14.48,13.80071429,,1915,8.59,8.256428571
1909,Columbus,United States,14.04,13.865,,1916,8.23,8.251428571
1910,Columbus,United States,13.54,13.80642857,,1917,8.02,8.237142857
1911,Columbus,United States,14.97,13.85785714,,1918,8.13,8.24
1912,Columbus,United States,13.3,13.80142857,,1919,8.38,8.250714286
1913,Columbus,United States,14.41,13.83357143,,1920,8.36,8.249285714
1914,Columbus,United States,13.79,13.79928571,,1921,8.57,8.293571429
1915,Columbus,United States,13.92,13.86357143,,1922,8.41,8.309285714
1916,Columbus,United States,14.06,13.87785714,,1923,8.42,8.326428571
1917,Columbus,United States,12.72,13.82857143,,1924,8.51,8.347142857
1918,Columbus,United States,14.1,13.895,,1925,8.53,8.372142857
1919,Columbus,United States,14.57,13.975,,1926,8.73,8.412142857
1920,Columbus,United States,13.5,13.93928571,,1927,8.52,8.427857143
1921,Columbus,United States,15.52,14.06571429,,1928,8.63,8.430714286
1922,Columbus,United States,14.93,14.09785714,,1929,8.24,8.405714286
1923,Columbus,United States,14.14,14.105,,1930,8.63,8.434285714
1924,Columbus,United States,13.08,14.07214286,,1931,8.72,8.484285714
1925,Columbus,United States,14.53,14.04071429,,1932,8.71,8.525714286
1926,Columbus,United States,13.54,14.05785714,,1933,8.34,8.522857143
1927,Columbus,United States,14.86,14.09,,1934,8.63,8.542142857
1928,Columbus,United States,13.66,14.08071429,,1935,8.52,8.538571429
1929,Columbus,United States,13.83,14.07428571,,1936,8.55,8.548571429
1930,Columbus,United States,14.35,14.095,,1937,8.7,8.568571429
1931,Columbus,United States,15.1,14.265,,1938,8.86,8.593571429
1932,Columbus,United States,14.68,14.30642857,,1939,8.76,8.61
1933,Columbus,United States,15.12,14.34571429,,1940,8.76,8.612142857
1934,Columbus,United States,14.36,14.40714286,,1941,8.77,8.63
1935,Columbus,United States,14.23,14.315,,1942,8.73,8.637142857
1936,Columbus,United States,14.38,14.27571429,,1943,8.76,8.674285714
1937,Columbus,United States,14.06,14.27,,1944,8.85,8.69
1938,Columbus,United States,15.05,14.41071429,,1945,8.58,8.68
1939,Columbus,United States,14.82,14.43142857,,1946,8.68,8.677857143
1940,Columbus,United States,13.22,14.40857143,,1947,8.8,8.710714286
1941,Columbus,United States,14.6,14.39,,1948,8.75,8.719285714
